"Protein names","unique_genes","unique_organisms","Measure","Value"
"Disease resistance protein Roq1 (2' cyclic ADP-D-ribose synthase) (2'cADPR synthase Roq1) (EC 3.2.2.-) (NAD(+) hydrolase RPV1) (EC 3.2.2.6) (Recognition of XopQ 1 protein)","ROQ1","Nicotiana benthamiana","mean_mass",150462
"DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]","DNAJC2 MPHOSPH11 MPP11 ZRF1","Homo sapiens (Human)","mean_length",621
"DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]","DNAJC2 MPHOSPH11 MPP11 ZRF1","Homo sapiens (Human)","mean_mass",71996
"Dof zinc finger protein DOF1.5 (AtDOF1.5)","DOF1.5 COG1 At1g29160 F28N24.35","Arabidopsis thaliana (Mouse-ear cress)","mean_length",175
"Dof zinc finger protein DOF1.5 (AtDOF1.5)","DOF1.5 COG1 At1g29160 F28N24.35","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",19423
"Double-strand break repair protein MRE11 (EC 3.1.-.-) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)","MRE11 HNGS1 MRE11A","Homo sapiens (Human)","mean_length",708
"Double-strand break repair protein MRE11 (EC 3.1.-.-) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)","MRE11 HNGS1 MRE11A","Homo sapiens (Human)","mean_mass",80593
"Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1)","DRB1 HYL1 At1g09700 F21M12.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",419
"Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1)","DRB1 HYL1 At1g09700 F21M12.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",45547
"Double-stranded RNA-binding protein 3 (dsRNA-binding protein 3) (AtDRB3)","DRB3 At3g26932 MQP17.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",359
"Double-stranded RNA-binding protein 3 (dsRNA-binding protein 3) (AtDRB3)","DRB3 At3g26932 MQP17.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",40074
"Double-stranded RNA-binding protein 5 (dsRNA-binding protein 5) (AtDRB5)","DRB5 At5g41070 MEE6.14","Arabidopsis thaliana (Mouse-ear cress)","mean_length",393
"Double-stranded RNA-binding protein 5 (dsRNA-binding protein 5) (AtDRB5)","DRB5 At5g41070 MEE6.14","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",43635
"Dual specificity protein phosphatase 1 (AtDsPTP1) (EC 3.1.3.16) (EC 3.1.3.48)","DSPTP1 At3g23610 MDB19.10","Arabidopsis thaliana (Mouse-ear cress)","mean_length",198
"Dual specificity protein phosphatase 1 (AtDsPTP1) (EC 3.1.3.16) (EC 3.1.3.48)","DSPTP1 At3g23610 MDB19.10","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",22017
"Dual specificity protein phosphatase 12 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity tyrosine phosphatase YVH1)","DUSP12","Homo sapiens (Human)","mean_length",340
"Dual specificity protein phosphatase 12 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity tyrosine phosphatase YVH1)","DUSP12","Homo sapiens (Human)","mean_mass",37687
"Dual specificity protein phosphatase PHS1 (EC 3.1.3.16) (EC 3.1.3.48) (Protein PROPYZAMIDE-HYPERSENSITIVE 1)","PHS1 At5g23720 MQM1.1","Arabidopsis thaliana (Mouse-ear cress)","mean_length",929
"Dual specificity protein phosphatase PHS1 (EC 3.1.3.16) (EC 3.1.3.48) (Protein PROPYZAMIDE-HYPERSENSITIVE 1)","PHS1 At5g23720 MQM1.1","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",104235
"Dynactin subunit 4 (Dyn4) (Dynactin subunit p62)","DCTN4","Homo sapiens (Human)","mean_length",460
"Dynactin subunit 4 (Dyn4) (Dynactin subunit p62)","DCTN4","Homo sapiens (Human)","mean_mass",52337
"Dynactin subunit 5 (Dynactin subunit p25)","DCTN5","Homo sapiens (Human)","mean_length",182
"Dynactin subunit 5 (Dynactin subunit p25)","DCTN5","Homo sapiens (Human)","mean_mass",20127
"Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)","DNM1L DLP1 DRP1","Homo sapiens (Human)","mean_length",736
"Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)","DNM1L DLP1 DRP1","Homo sapiens (Human)","mean_mass",81877
"Dynamin-2B (EC 3.6.5.5) (Dynamin-like protein 3) (Dynamin-related protein 2B)","DRP2B ADL3 CF1 At1g59610 T30E16.17","Arabidopsis thaliana (Mouse-ear cress)","mean_length",920
"Dynamin-2B (EC 3.6.5.5) (Dynamin-like protein 3) (Dynamin-related protein 2B)","DRP2B ADL3 CF1 At1g59610 T30E16.17","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",100228
"Dynamin-related protein 3A (Dynamin-like protein 2) (Dynamin-like protein 2a)","DRP3A ADL2 ADL2A At4g33650 T16L1.140","Arabidopsis thaliana (Mouse-ear cress)","mean_length",808
"Dynamin-related protein 3A (Dynamin-like protein 2) (Dynamin-like protein 2a)","DRP3A ADL2 ADL2A At4g33650 T16L1.140","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",89627
"Dynamin-related protein 3B (Dynamin-like protein 2b)","DRP3B ADL2B At2g14120 T22C12.1","Arabidopsis thaliana (Mouse-ear cress)","mean_length",780
"Dynamin-related protein 3B (Dynamin-like protein 2b)","DRP3B ADL2B At2g14120 T22C12.1","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",86644
"Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)","DYNLT1 TCTEL1 TCTEX-1 TCTEX1","Homo sapiens (Human)","mean_length",113
"Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)","DYNLT1 TCTEL1 TCTEX-1 TCTEX1","Homo sapiens (Human)","mean_mass",12452
"E2F transcription factor-like E2FE (DP-E2F-like protein 1) (E2F-like repressor E2L3)","E2FE DEL1 E2L3 ELP2 At3g48160 T24C20.40","Arabidopsis thaliana (Mouse-ear cress)","mean_length",403
"E2F transcription factor-like E2FE (DP-E2F-like protein 1) (E2F-like repressor E2L3)","E2FE DEL1 E2L3 ELP2 At3g48160 T24C20.40","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",45461
"E3 SUMO-protein ligase MMS21 (EC 2.3.2.-) (E3 SUMO-protein transferase MMS21) (MMS21 homolog) (AtMMS21) (Protein HIGH PLOIDY 2)","MMS21 HPY2 At3g15150 F4B12.6","Arabidopsis thaliana (Mouse-ear cress)","mean_length",249
"E3 SUMO-protein ligase MMS21 (EC 2.3.2.-) (E3 SUMO-protein transferase MMS21) (MMS21 homolog) (AtMMS21) (Protein HIGH PLOIDY 2)","MMS21 HPY2 At3g15150 F4B12.6","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",27717
"E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)","UFL1 KIAA0776 MAXER NLBP RCAD","Homo sapiens (Human)","mean_length",794
"E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)","UFL1 KIAA0776 MAXER NLBP RCAD","Homo sapiens (Human)","mean_mass",89595
"E3 ubiquitin protein ligase DRIP1 (EC 2.3.2.27) (DREB2A-interacting protein 1) (RING-type E3 ubiquitin transferase DRIP1)","DRIP1 At1g06770 F4H5.14","Arabidopsis thaliana (Mouse-ear cress)","mean_length",421
"E3 ubiquitin protein ligase DRIP1 (EC 2.3.2.27) (DREB2A-interacting protein 1) (RING-type E3 ubiquitin transferase DRIP1)","DRIP1 At1g06770 F4H5.14","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",47328
"E3 ubiquitin protein ligase DRIP2 (EC 2.3.2.27) (DREB2A-interacting protein 2) (RING-type E3 ubiquitin transferase DRIP2)","DRIP2 At2g30580 T6B20.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",420
"E3 ubiquitin protein ligase DRIP2 (EC 2.3.2.27) (DREB2A-interacting protein 2) (RING-type E3 ubiquitin transferase DRIP2)","DRIP2 At2g30580 T6B20.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",47190
"E3 ubiquitin-protein ligase AIP2 (EC 2.3.2.27) (ABI3-interacting protein 2) (RING-type E3 ubiquitin transferase AIP2)","AIP2 At5g20910 F22D1.80","Arabidopsis thaliana (Mouse-ear cress)","mean_length",310
"E3 ubiquitin-protein ligase AIP2 (EC 2.3.2.27) (ABI3-interacting protein 2) (RING-type E3 ubiquitin transferase AIP2)","AIP2 At5g20910 F22D1.80","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",34807
"E3 ubiquitin-protein ligase AIRP1 (EC 2.3.2.27) (Protein ABA INSENSITIVE RING PROTEIN 1) (AtAIRP1) (RING-type E3 ubiquitin transferase AIRP1)","AIRP1 At4g23450 F16G20.150","Arabidopsis thaliana (Mouse-ear cress)","mean_length",153
"E3 ubiquitin-protein ligase AIRP1 (EC 2.3.2.27) (Protein ABA INSENSITIVE RING PROTEIN 1) (AtAIRP1) (RING-type E3 ubiquitin transferase AIRP1)","AIRP1 At4g23450 F16G20.150","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",16940
"E3 ubiquitin-protein ligase BRE1-like 1 (AtBRE1) (EC 2.3.2.27) (Protein HISTONE MONOUBIQUITINATION 1) (AtHUB1) (Protein REDUCED DORMANCY 4) (RING-type E3 ubiquitin transferase BRE1-like 1)","HUB1 BRE1A RDO4 At2g44950/At2g44960 T13E15.24/T13E15.23 T14P1.25/T14P1.24","Arabidopsis thaliana (Mouse-ear cress)","mean_length",878
"E3 ubiquitin-protein ligase BRE1-like 1 (AtBRE1) (EC 2.3.2.27) (Protein HISTONE MONOUBIQUITINATION 1) (AtHUB1) (Protein REDUCED DORMANCY 4) (RING-type E3 ubiquitin transferase BRE1-like 1)","HUB1 BRE1A RDO4 At2g44950/At2g44960 T13E15.24/T13E15.23 T14P1.25/T14P1.24","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",99719
"E3 ubiquitin-protein ligase CIP8 (EC 2.3.2.27) (COP1-interacting protein 8) (RING-type E3 ubiquitin transferase CIP8)","CIP8 At5g64920 MXK3.15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",334
"E3 ubiquitin-protein ligase CIP8 (EC 2.3.2.27) (COP1-interacting protein 8) (RING-type E3 ubiquitin transferase CIP8)","CIP8 At5g64920 MXK3.15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",36965
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2)","COP1 RFWD2 RNF200","Homo sapiens (Human)","mean_length",731
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2)","COP1 RFWD2 RNF200","Homo sapiens (Human)","mean_mass",80474
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (mCOP1) (RING finger and WD repeat domain protein 2) (RING-type E3 ubiquitin transferase RFWD2)","Cop1 Rfwd2 RNF200","Mus musculus (Mouse)","mean_length",733
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (mCOP1) (RING finger and WD repeat domain protein 2) (RING-type E3 ubiquitin transferase RFWD2)","Cop1 Rfwd2 RNF200","Mus musculus (Mouse)","mean_mass",80441
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1) (RING-type E3 ubiquitin transferase COP1)","COP1 At2g32950 T21L14.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",675
"E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1) (RING-type E3 ubiquitin transferase COP1)","COP1 At2g32950 T21L14.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",76188
"E3 ubiquitin-protein ligase HAKAI homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase HAKAI)","HAKAI At5g01160 F7J8_140","Arabidopsis thaliana (Mouse-ear cress)","mean_length",360
"E3 ubiquitin-protein ligase HAKAI homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase HAKAI)","HAKAI At5g01160 F7J8_140","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39772
"E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)","HECTD3","Homo sapiens (Human)","mean_length",861
"E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)","HECTD3","Homo sapiens (Human)","mean_mass",97113
"E3 ubiquitin-protein ligase HOS1 (EC 2.3.2.27) (Protein HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENE 1) (RING finger protein HOS1) (RING-type E3 ubiquitin transferase HOS1)","HOS1 At2g39810 T5I7.11","Arabidopsis thaliana (Mouse-ear cress)","mean_length",927
"E3 ubiquitin-protein ligase HOS1 (EC 2.3.2.27) (Protein HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENE 1) (RING finger protein HOS1) (RING-type E3 ubiquitin transferase HOS1)","HOS1 At2g39810 T5I7.11","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",105229
"E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)","ITCH","Homo sapiens (Human)","mean_length",903
"E3 ubiquitin-protein ligase Itchy homolog (Itch) (EC 2.3.2.26) (Atrophin-1-interacting protein 4) (AIP4) (HECT-type E3 ubiquitin transferase Itchy homolog) (NFE2-associated polypeptide 1) (NAPP1)","ITCH","Homo sapiens (Human)","mean_mass",102803
"E3 ubiquitin-protein ligase KEG (EC 2.3.2.27) (EC 2.7.11.1) (Protein KEEP ON GOING) (RING finger protein KEG) (RING-type E3 ubiquitin transferase KEG)","KEG At5g13530 T6I14.60 T6I14.70","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1625
"E3 ubiquitin-protein ligase KEG (EC 2.3.2.27) (EC 2.7.11.1) (Protein KEEP ON GOING) (RING finger protein KEG) (RING-type E3 ubiquitin transferase KEG)","KEG At5g13530 T6I14.60 T6I14.70","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",178216
"E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)","LRSAM1 TAL UNQ6496/PRO21356","Homo sapiens (Human)","mean_length",723
"E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)","LRSAM1 TAL UNQ6496/PRO21356","Homo sapiens (Human)","mean_mass",83594
"E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)","NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53","Homo sapiens (Human)","mean_length",1319
"E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4)","NEDD4 KIAA0093 NEDD4-1 RPF1 PIG53","Homo sapiens (Human)","mean_mass",149114
"E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)","Nedd4l Kiaa0439 Nedd4b, NEDD4L KIAA0439 NEDL3","Mus musculus (Mouse), Homo sapiens (Human)","mean_length",989.5
"E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)","Nedd4l Kiaa0439 Nedd4b, NEDD4L KIAA0439 NEDL3","Mus musculus (Mouse), Homo sapiens (Human)","mean_mass",113675.5
"E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]","RBX1 RNF75 ROC1","Homo sapiens (Human)","mean_length",108
"E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]","RBX1 RNF75 ROC1","Homo sapiens (Human)","mean_mass",12274
"E3 ubiquitin-protein ligase RFI2 (EC 2.3.2.27) (Protein RED AND FAR-RED INSENSITIVE 2)","RFI2 At2g47700 F17A22.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",358
"E3 ubiquitin-protein ligase RFI2 (EC 2.3.2.27) (Protein RED AND FAR-RED INSENSITIVE 2)","RFI2 At2g47700 F17A22.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",39937
"E3 ubiquitin-protein ligase RHA2A (EC 2.3.2.27) (RING-H2 finger A2a) (RING-H2 zinc finger protein RHA2a) (RING-type E3 ubiquitin transferase RHA2A)","RHA2A At1g15100 F9L1.3","Arabidopsis thaliana (Mouse-ear cress)","mean_length",155
"E3 ubiquitin-protein ligase RHA2A (EC 2.3.2.27) (RING-H2 finger A2a) (RING-H2 zinc finger protein RHA2a) (RING-type E3 ubiquitin transferase RHA2A)","RHA2A At1g15100 F9L1.3","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",16983
"E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (Ram1 homolog) (HsRma1)","RNF5 G16 NG2 RMA1","Homo sapiens (Human)","mean_length",180
"E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (Ram1 homolog) (HsRma1)","RNF5 G16 NG2 RMA1","Homo sapiens (Human)","mean_mass",19881
"E3 ubiquitin-protein ligase SP1 (EC 2.3.2.27) (DIAP1-like protein 1) (Protein SUPPRESSOR OF PPI1 LOCUS 1) (RING-type E3 ubiquitin transferase SP1)","SP1 DIAL1 At1g63900/At1g63890 T12P18.8/T12P18.9","Arabidopsis thaliana (Mouse-ear cress)","mean_length",343
"E3 ubiquitin-protein ligase SP1 (EC 2.3.2.27) (DIAP1-like protein 1) (Protein SUPPRESSOR OF PPI1 LOCUS 1) (RING-type E3 ubiquitin transferase SP1)","SP1 DIAL1 At1g63900/At1g63890 T12P18.8/T12P18.9","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",37908
"E3 ubiquitin-protein ligase SspH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SspH2) (Salmonella secreted protein H2) (Secreted effector protein sspH2)","sspH2 STM2241","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","mean_length",788
"E3 ubiquitin-protein ligase SspH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SspH2) (Salmonella secreted protein H2) (Secreted effector protein sspH2)","sspH2 STM2241","Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)","mean_mass",87223
"E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)","UBR2 C6orf133 KIAA0349","Homo sapiens (Human)","mean_length",1755
"E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)","UBR2 C6orf133 KIAA0349","Homo sapiens (Human)","mean_mass",200538
"EID1-like F-box protein 2","EDL2 At5g39360 MUL8.40","Arabidopsis thaliana (Mouse-ear cress)","mean_length",249
"EID1-like F-box protein 2","EDL2 At5g39360 MUL8.40","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",28063
"EIN3-binding F-box protein 1 (F-box/LRR-repeat protein 6)","EBF1 FBL6 At2g25490 F13B15.15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",628
"EIN3-binding F-box protein 1 (F-box/LRR-repeat protein 6)","EBF1 FBL6 At2g25490 F13B15.15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",66589
"EIN3-binding F-box protein 2","EBF2 At5g25350 F18G18.90","Arabidopsis thaliana (Mouse-ear cress)","mean_length",623
"EIN3-binding F-box protein 2","EBF2 At5g25350 F18G18.90","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",66061
"ER membrane protein complex subunit 4 (Cell proliferation-inducing gene 17 protein) (Transmembrane protein 85)","EMC4 TMEM85 HSPC184 PIG17","Homo sapiens (Human)","mean_length",183
"ER membrane protein complex subunit 4 (Cell proliferation-inducing gene 17 protein) (Transmembrane protein 85)","EMC4 TMEM85 HSPC184 PIG17","Homo sapiens (Human)","mean_mass",20087
"ESCRT-related protein CHMP1A (Protein CHARGED MULTIVESICULAR BODY PROTEIN 1A) (Protein CHROMATIN MODIFYING PROTEIN 1A) (Vacuolar protein-sorting-associated protein 46.1)","CHMP1A VPS46.1 At1g17730 F11A6.7","Arabidopsis thaliana (Mouse-ear cress)","mean_length",203
"ESCRT-related protein CHMP1A (Protein CHARGED MULTIVESICULAR BODY PROTEIN 1A) (Protein CHROMATIN MODIFYING PROTEIN 1A) (Vacuolar protein-sorting-associated protein 46.1)","CHMP1A VPS46.1 At1g17730 F11A6.7","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",22763
"Effector protein HopAB2 (Avirulence protein AvrPtoB) [Includes: E3 ubiquitin-protein ligase (EC 2.3.2.-) (E3 ubiquitin-protein transferase)]","hopAB2 avrPtoB PSPTO_3087","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_length",553
"Effector protein HopAB2 (Avirulence protein AvrPtoB) [Includes: E3 ubiquitin-protein ligase (EC 2.3.2.-) (E3 ubiquitin-protein transferase)]","hopAB2 avrPtoB PSPTO_3087","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_mass",59453
"Effector protein HopM1 (Hrp outer protein M1) (Type III effector HopPtoM)","hopM1 holPtoX hopPtoM PSPTO_1375 CEL ORF3","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_length",712
"Effector protein HopM1 (Hrp outer protein M1) (Type III effector HopPtoM)","hopM1 holPtoX hopPtoM PSPTO_1375 CEL ORF3","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_mass",75214
"Effector protein hopD2 (EC 3.1.3.48) (Tyrosine-protein phosphatase hopPtoD2)","hopD2 hopA01 hopPtoD2 PSPTO_4722","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_length",468
"Effector protein hopD2 (EC 3.1.3.48) (Tyrosine-protein phosphatase hopPtoD2)","hopD2 hopA01 hopPtoD2 PSPTO_4722","Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)","mean_mass",51380
"Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)","EEF1D EF1D","Homo sapiens (Human)","mean_length",281
"Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)","EEF1D EF1D","Homo sapiens (Human)","mean_mass",31122
"Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)","EEF1G EF1G PRO1608","Homo sapiens (Human)","mean_length",437
"Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)","EEF1G EF1G PRO1608","Homo sapiens (Human)","mean_mass",50119
"Elongation factor 2 (EF-2) (EC 3.6.5.-)","EEF2 EF2","Homo sapiens (Human)","mean_length",858
"Elongation factor 2 (EF-2) (EC 3.6.5.-)","EEF2 EF2","Homo sapiens (Human)","mean_mass",95338
"Elongation factor G 1 (EF-G 1)","fusA fus slr1463","Synechocystis sp. (strain PCC 6803 / Kazusa)","mean_length",695
"Elongation factor G 1 (EF-G 1)","fusA fus slr1463","Synechocystis sp. (strain PCC 6803 / Kazusa)","mean_mass",76750
"Emerin","EMD EDMD STA","Homo sapiens (Human)","mean_length",254
"Emerin","EMD EDMD STA","Homo sapiens (Human)","mean_mass",28994
"Endochitinase At2g43610 (EC 3.2.1.14)","At2g43610 F18O19.28","Arabidopsis thaliana (Mouse-ear cress)","mean_length",281
"Endochitinase At2g43610 (EC 3.2.1.14)","At2g43610 F18O19.28","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",29999
"Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)","ERMP1 FXNA KIAA1815","Homo sapiens (Human)","mean_length",904
"Endoplasmic reticulum metallopeptidase 1 (EC 3.4.-.-) (Felix-ina)","ERMP1 FXNA KIAA1815","Homo sapiens (Human)","mean_mass",100231
"Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase)","ATP13A1 ATP13A KIAA1825 CGI-152","Homo sapiens (Human)","mean_length",1204
"Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase)","ATP13A1 ATP13A KIAA1825 CGI-152","Homo sapiens (Human)","mean_mass",132955
"Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)","DCL1 ASU1 CAF SIN1 SUS1 At1g01040 T25K16.4","Arabidopsis thaliana (Mouse-ear cress)","mean_length",1909
